StockCode,description,elasticity_category,confidence,current_price,recommended_price,final_change_pct,action,elasticity,p_value,r_squared,total_revenue
21915,red  harmonica in box,unusual,medium,1.155,1.155,0.0,manual review,9.5389,0.0822,0.2495,23793.93
85099C,jumbo  bag baroque black white,highly elastic,low,2.0494736842105263,2.0494736842105263,0.0,hold — low confidence,-2.0566,0.6685,0.0173,23675.04
48138,doormat union flag,highly elastic,low,7.800000000000001,7.800000000000001,0.0,hold — low confidence,-6.1869,0.457,0.0512,23666.41
23173,regency teapot roses,highly elastic,low,9.65,9.65,0.0,hold — low confidence,-40.0204,0.2493,0.2133,23033.4
22138,baking set 9 piece retrospot,unusual,medium,5.03,5.03,0.0,manual review,29.1838,0.1535,0.176,23007.55
48187,doormat new england,highly elastic,medium,8.176875,8.176875,0.0,hold — price sensitive,-16.0524,0.0696,0.2687,22968.25
21623,vintage union jack memoboard,highly elastic,high,9.805,9.805,0.0,hold — price sensitive,-78.5364,0.0027,0.575,22709.13
22189,cream heart card holder,highly elastic,high,3.792857142857143,3.792857142857143,0.0,hold — price sensitive,-27.596,0.0164,0.4211,22698.99
21733,red hanging heart t-light holder,unusual,low,2.9864705882352944,2.9864705882352944,0.0,hold — low confidence,4.0485,0.8058,0.0057,22624.690000000002
21931,jumbo storage bag suki,unusual,low,2.04375,2.04375,0.0,hold — low confidence,0.7043,0.866,0.0027,21782.69
48185,doormat fairy cake,highly elastic,medium,8.25,8.25,0.0,hold — price sensitive,-9.7047,0.1607,0.1706,21187.69
22961,jam making set printed,unusual,low,1.5269565217391303,1.5269565217391303,0.0,hold — low confidence,3.273,0.5591,0.0319,21170.75
22726,alarm clock bakelike green,unusual,medium,3.834318181818182,3.834318181818182,0.0,manual review,21.7796,0.0825,0.2713,20880.4
22666,recipe box pantry yellow design,unusual,low,3.028461538461539,3.028461538461539,0.0,hold — low confidence,2.6705,0.677,0.0164,20859.27
22139,retrospot tea set ceramic 11 pc,unusual,medium,5.075365853658536,5.075365853658536,0.0,manual review,15.514,0.1487,0.1799,20470.780000000002
22411,jumbo shopper vintage red paisley,unusual,low,2.033846153846154,2.033846153846154,0.0,hold — low confidence,4.7894,0.295,0.099,20141.19
71477,colour glass. star t-light holder,unusual,low,3.798333333333334,3.798333333333334,0.0,hold — low confidence,4.4331,0.4529,0.0575,20049.12
48194,doormat hearts,highly elastic,medium,8.878333333333332,8.878333333333332,0.0,hold — price sensitive,-9.2877,0.0817,0.2502,19948.81
82482,wooden picture frame white finish,elastic,low,2.95,2.95,0.0,hold — low confidence,-0.6945,0.7715,0.008,19932.170000000002
21731,red toadstool led night light,highly elastic,low,1.7065517241379309,1.7065517241379309,0.0,hold — low confidence,-6.0014,0.496,0.0431,19844.91
21523,doormat fancy font home sweet home,highly elastic,medium,8.082857142857142,8.082857142857142,0.0,hold — price sensitive,-14.2524,0.0872,0.2427,19078.07
20713,jumbo bag owls,unusual,low,2.0189473684210526,2.0189473684210526,0.0,hold — low confidence,2.7624,0.615,0.0293,19052.14
84997D,pink 3 piece polkadot cutlery set,highly elastic,low,4.125,4.125,0.0,hold — low confidence,-5.8109,0.2589,0.1142,18765.55
21929,jumbo bag pink vintage paisley,highly elastic,low,2.0220000000000002,2.0220000000000002,0.0,hold — low confidence,-1.5263,0.745,0.01,18392.81
21166,cook with wine metal sign,unusual,medium,2.0630555555555556,2.0630555555555556,0.0,manual review,8.2819,0.1364,0.2078,18235.010000000002
21928,jumbo bag scandinavian paisley,highly elastic,low,2.0075,2.0075,0.0,hold — low confidence,-2.6373,0.4713,0.0482,18034.71
21843,red retrospot cake stand,highly elastic,high,10.891176470588235,10.891176470588235,0.0,hold — price sensitive,-27.0947,0.0321,0.3536,17929.75
22697,green regency teacup and saucer,inelastic,rule-based,3.018888888888889,3.17,5.0,increase price (rule-based),-0.4529,0.8986,0.0015,17806.34
84347,rotating silver angels t-light hldr,unusual,low,2.591944444444444,2.591944444444444,0.0,hold — low confidence,25.1429,0.3849,0.0848,17592.52
22111,scottie dog hot water bottle,highly elastic,low,4.882692307692308,4.882692307692308,0.0,hold — low confidence,-11.895,0.7326,0.011,17574.75
82486,wood s/3 cabinet ant white finish,elastic,low,8.736666666666666,8.736666666666666,0.0,hold — low confidence,-1.3873,0.4348,0.0564,17574.0
22467,gumball coat rack,highly elastic,low,2.514,2.514,0.0,hold — low confidence,-7.5957,0.5164,0.0393,17555.55
21108,fairy cake flannel assorted colour,highly elastic,medium,1.0092857142857143,1.0092857142857143,0.0,hold — price sensitive,-2.0134,0.102,0.2244,17304.57
20914,set/5 red retrospot lid glass bowls,highly elastic,medium,3.051666666666667,3.051666666666667,0.0,hold — price sensitive,-12.0918,0.0914,0.2372,17303.98
22693,grow a flytrap or sunflower in tin,highly elastic,low,1.1866666666666668,1.1866666666666668,0.0,hold — low confidence,-11.2846,0.4092,0.0627,17226.2
21212,pack of 72 retrospot cake cases,highly elastic,high,0.55,0.55,0.0,hold — price sensitive,-36.8342,0.033,0.3505,16325.78
15036,assorted colours silk fan,highly elastic,low,0.83,0.83,0.0,hold — low confidence,-1.5897,0.8387,0.0039,16044.44
22722,set of 6 spice tins pantry design,highly elastic,low,3.9500000000000006,3.9500000000000006,0.0,hold — low confidence,-2.8915,0.7659,0.0093,16016.500000000002
21754,home building block word,highly elastic,medium,6.183333333333334,6.183333333333334,0.0,hold — price sensitive,-10.0329,0.1166,0.2087,15607.7
20712,jumbo bag woodland animals,elastic,low,2.08,2.08,0.0,hold — low confidence,-0.8025,0.9101,0.0012,15499.210000000001
85152,hand over the chocolate   sign,unusual,high,2.1613636363636366,2.1613636363636366,0.0,manual review,13.2872,0.0464,0.314,15419.11
22114,hot water bottle tea and sympathy,unusual,medium,4.194444444444445,4.194444444444445,0.0,manual review,52.8725,0.0698,0.4471,15348.9
22385,jumbo bag spaceboy design,unusual,low,2.0458823529411765,2.0458823529411765,0.0,hold — low confidence,0.1125,0.981,0.0001,15318.630000000001
15056BL,edwardian parasol black,highly elastic,high,5.95,5.95,0.0,hold — price sensitive,-37.7159,0.0043,0.5391,15193.75
84997B,red 3 piece retrospot cutlery set,highly elastic,medium,4.092857142857143,4.092857142857143,0.0,hold — price sensitive,-9.1842,0.0647,0.277,15142.23
22077,6 ribbons rustic charm,unusual,low,2.017,2.017,0.0,hold — low confidence,1.6075,0.2461,0.1201,14988.589999999998
22624,ivory kitchen scales,unusual,high,8.466000000000001,8.466000000000001,0.0,manual review,18.575,0.0259,0.3756,14788.33
22698,pink regency teacup and saucer,highly elastic,low,3.0573684210526317,3.0573684210526317,0.0,hold — low confidence,-6.688,0.6652,0.0195,14769.49
82483,wood 2 drawer cabinet white finish,elastic,low,7.149047619047619,7.149047619047619,0.0,hold — low confidence,-0.8618,0.5796,0.0317,14689.87
22993,set of 4 pantry jelly moulds,unusual,low,1.2786206896551724,1.2786206896551724,0.0,hold — low confidence,0.6222,0.9148,0.0013,14180.17
84997C,blue 3 piece polkadot cutlery set,highly elastic,low,4.092857142857143,4.092857142857143,0.0,hold — low confidence,-7.3628,0.2597,0.1138,14044.74
22835,hot water bottle i am so poorly,unusual,high,4.8975,4.8975,0.0,manual review,31.5979,0.0155,0.4268,13792.5
84077,world war 2 gliders asstd designs,elastic,low,0.30238095238095236,0.30238095238095236,0.0,hold — low confidence,-1.1234,0.8076,0.0056,13586.249999999998
48184,doormat english rose,highly elastic,high,7.9575,7.9575,0.0,hold — price sensitive,-18.392,0.0082,0.4853,13470.95
84029E,red woolly hottie white heart.,unusual,medium,4.3100000000000005,4.3100000000000005,0.0,manual review,15.8756,0.1088,0.2893,13430.51
21485,retrospot heart hot water bottle,highly elastic,low,4.931578947368421,4.931578947368421,0.0,hold — low confidence,-6.7757,0.8099,0.0055,13266.6
22847,bread bin diner style ivory,highly elastic,medium,16.796153846153846,16.796153846153846,0.0,hold — price sensitive,-37.6613,0.0971,0.251,13125.109999999999
22900,set 2 tea towels i love london,highly elastic,medium,3.25,3.25,0.0,hold — price sensitive,-4.4873,0.1829,0.1552,13068.2
22622,box of vintage alphabet blocks,elastic,low,11.378571428571428,11.378571428571428,0.0,hold — low confidence,-0.5406,0.8397,0.0039,13010.699999999999
84078A,set/4 white retro storage cubes,highly elastic,medium,39.95,39.95,0.0,hold — price sensitive,-10.8343,0.0757,0.2591,13007.150000000001
22752,set 7 babushka nesting boxes,highly elastic,low,5.505714285714285,5.505714285714285,0.0,hold — low confidence,-1.6783,0.3829,0.0699,12665.29
84978,hanging heart jar t-light holder,highly elastic,medium,1.24,1.24,0.0,hold — price sensitive,-25.5399,0.0974,0.2298,12659.960000000001
82583,hot baths metal sign,highly elastic,medium,2.103076923076923,2.103076923076923,0.0,hold — price sensitive,-11.682,0.1199,0.2053,12601.740000000002
22558,clothes pegs retrospot pack 24,highly elastic,medium,1.7229411764705882,1.7229411764705882,0.0,hold — price sensitive,-2.577,0.1363,0.1902,12545.38
23301,gardeners kneeling pad keep calm,unusual,low,1.6771698113207547,1.6771698113207547,0.0,hold — low confidence,6.1517,0.5828,0.0532,12493.48
22171,3 hook photo shelf antique white,highly elastic,high,8.5,8.5,0.0,hold — price sensitive,-43.7879,0.0076,0.4919,12294.380000000001
22188,black heart card holder,highly elastic,high,3.4033333333333338,3.4033333333333338,0.0,hold — price sensitive,-10.0963,0.049,0.308,12253.61
21232,strawberry ceramic trinket box,unusual,low,1.3092857142857142,1.3092857142857142,0.0,hold — low confidence,3.3302,0.3756,0.072,12210.06
22113,grey heart hot water bottle,unusual,medium,4.25,4.25,0.0,manual review,12.4839,0.059,0.2873,12153.85
21524,doormat spotty home sweet home,highly elastic,low,8.68142857142857,8.68142857142857,0.0,hold — low confidence,-2.223,0.5156,0.0394,12095.67
20749,assorted colour mini cases,highly elastic,low,7.513636363636365,7.513636363636365,0.0,hold — low confidence,-10.0244,0.3558,0.0779,12090.15
22083,paper chain kit retrospot,inelastic,rule-based,3.0683333333333334,3.22,5.0,increase price (rule-based),-0.357,0.9514,0.0004,12043.210000000001
22379,recycling bag retrospot,unusual,low,2.075,2.075,0.0,hold — low confidence,5.4827,0.2003,0.1444,11942.43
22568,feltcraft cushion owl,unusual,low,3.75,3.75,0.0,hold — low confidence,18.0214,0.2392,0.1234,11783.05
22273,feltcraft doll molly,highly elastic,low,3.1393333333333335,3.1393333333333335,0.0,hold — low confidence,-17.3926,0.23,0.128,11762.99
21977,pack of 60 pink paisley cake cases,highly elastic,medium,0.5818181818181819,0.5818181818181819,0.0,hold — price sensitive,-12.3538,0.0501,0.3055,11629.7
20971,pink blue felt craft trinket box,unusual,medium,1.2936842105263158,1.2936842105263158,0.0,manual review,18.3122,0.1368,0.1898,11629.39
22607,wooden rounders garden set,highly elastic,medium,9.66,9.66,0.0,hold — price sensitive,-33.765,0.095,0.2327,11551.25
48188,doormat welcome puppies,highly elastic,medium,8.25,8.25,0.0,hold — price sensitive,-13.7749,0.058,0.2892,11544.2
22427,enamel flower jug cream,unusual,high,5.86,5.86,0.0,manual review,26.8654,0.0124,0.4806,11433.300000000001
21755,love building block word,highly elastic,medium,6.25,6.25,0.0,hold — price sensitive,-10.9449,0.1393,0.1876,11331.7
21930,jumbo storage bag skulls,highly elastic,low,2.0455555555555556,2.0455555555555556,0.0,hold — low confidence,-1.5569,0.7659,0.0084,10890.79
22501,picnic basket wicker large,highly elastic,low,9.79,9.79,0.0,hold — low confidence,-23.319,0.2602,0.1247,10818.9
22570,feltcraft cushion rabbit,unusual,medium,3.71,3.71,0.0,manual review,29.3145,0.0877,0.2637,10687.35
21790,vintage snap cards,unusual,medium,0.8641304347826086,0.8641304347826086,0.0,manual review,14.4413,0.1488,0.1797,10447.42
47566B,tea time party bunting,highly elastic,low,4.95,4.95,0.0,hold — low confidence,-15.3458,0.3085,0.0939,10445.25
DOT,dotcom postage,unusual,medium,582.66,582.66,0.0,manual review,0.2274,0.0839,0.8392,10307.1
23108,set of 10 led dolly lights,unusual,low,5.9,5.9,0.0,hold — low confidence,6.9191,0.5323,0.0682,10268.769999999999
22087,paper bunting white lace,highly elastic,high,2.95,2.95,0.0,hold — price sensitive,-88.4342,0.0006,0.8778,10264.050000000001
85014B,red retrospot umbrella,unusual,low,7.052,7.052,0.0,hold — low confidence,0.678,0.8599,0.003,10247.470000000001
21479,white skull hot water bottle,unusual,medium,4.235294117647059,4.235294117647059,0.0,manual review,15.1321,0.0614,0.2828,10227.72
22617,baking set spaceboy design,unusual,medium,5.207,5.207,0.0,manual review,8.9671,0.1998,0.1447,10210.890000000001
23170,regency tea plate roses,unusual,low,1.6166666666666665,1.6166666666666665,0.0,hold — low confidence,2.2652,0.8116,0.0102,10190.789999999999
22988,soldiers egg cup,unusual,high,1.2353846153846153,1.2353846153846153,0.0,manual review,19.3897,0.0411,0.3546,10150.220000000001
21340,classic metal birdcage plant holder,highly elastic,high,12.75,12.75,0.0,hold — price sensitive,-11.565,0.0406,0.3285,10136.449999999999
21891,traditional wooden skipping rope,unusual,high,1.4416666666666667,1.4416666666666667,0.0,manual review,6.9953,0.0088,0.4787,10019.47
71459,hanging jam jar t-light holder,highly elastic,low,0.85,0.85,0.0,hold — low confidence,-15.0384,0.2601,0.1136,10011.53
23300,gardeners kneeling pad cup of tea,highly elastic,low,1.673111111111111,1.673111111111111,0.0,hold — low confidence,-3.2895,0.7069,0.0253,9963.39
48173C,doormat black flock,highly elastic,high,8.25,8.25,0.0,hold — price sensitive,-22.379,0.0004,0.6913,9822.2
23343,jumbo bag vintage christmas,unusual,low,2.0524242424242427,2.0524242424242427,0.0,hold — low confidence,32.602,0.4594,0.1138,9740.08
22970,london bus coffee mug,highly elastic,low,2.55,2.55,0.0,hold — low confidence,-5.6884,0.7017,0.0139,9666.3
22690,doormat home sweet home blue,highly elastic,high,8.12,8.12,0.0,hold — price sensitive,-20.0809,0.0414,0.3263,9620.1
22846,bread bin diner style red,unusual,high,16.404545454545453,16.404545454545453,0.0,manual review,6.8495,0.0001,0.7638,9597.31
84997A,green 3 piece polkadot cutlery set,highly elastic,high,3.95,3.95,0.0,hold — price sensitive,-8.0468,0.0366,0.3395,9593.42
22633,hand warmer union jack,highly elastic,low,2.1,2.1,0.0,hold — low confidence,-103.0482,0.2581,0.1779,9550.560000000001
22605,wooden croquet garden set,highly elastic,high,14.75,14.75,0.0,hold — price sensitive,-18.6685,0.0056,0.5172,9481.1
22692,doormat welcome to our home,highly elastic,medium,8.25,8.25,0.0,hold — price sensitive,-15.1762,0.1033,0.223,9436.5
85048,15cm christmas glass ball 20 lights,highly elastic,high,7.95,7.95,0.0,hold — price sensitive,-87.7168,0.0413,0.4707,9374.7
84947,antique silver tea glass engraved,unusual,low,1.261304347826087,1.261304347826087,0.0,hold — low confidence,1.0553,0.8881,0.0019,9339.34
84029G,knitted union flag hot water bottle,unusual,medium,4.163043478260869,4.163043478260869,0.0,manual review,12.5216,0.0804,0.2521,9329.17
22560,traditional modelling clay,unusual,high,1.3519999999999999,1.3519999999999999,0.0,manual review,6.8709,0.026,0.3755,9311.47
22621,traditional knitting nancy,unusual,high,1.698,1.698,0.0,manual review,4.2891,0.0455,0.316,9297.869999999999
21914,blue harmonica in box,unusual,medium,1.2746938775510204,1.2746938775510204,0.0,manual review,12.3246,0.0616,0.2824,9222.63
21481,fawn blue hot water bottle,unusual,medium,3.7267741935483873,3.7267741935483873,0.0,manual review,4.5998,0.0637,0.2787,9201.18
23171,regency tea plate green,highly elastic,medium,1.8557142857142856,1.8557142857142856,0.0,hold — price sensitive,-10.1083,0.0563,0.4814,9184.9
20679,edwardian parasol red,highly elastic,medium,5.95,5.95,0.0,hold — price sensitive,-24.2227,0.1089,0.2167,9030.95
22632,hand warmer red polka dot,highly elastic,medium,2.1,2.1,0.0,hold — price sensitive,-130.2179,0.1854,0.2716,8751.12
21559,strawberry lunch box with cutlery,highly elastic,high,2.894285714285714,2.894285714285714,0.0,hold — price sensitive,-14.1441,0.0031,0.5627,8734.64
22838,3 tier cake tin red and cream,highly elastic,high,14.95,14.95,0.0,hold — price sensitive,-39.2202,0.0124,0.4806,8708.65
84375,set of 20 kids cookie cutters,unusual,low,2.226875,2.226875,0.0,hold — low confidence,2.2411,0.7346,0.0109,8697.27
20972,pink cream felt craft trinket box,unusual,low,1.3004166666666668,1.3004166666666668,0.0,hold — low confidence,3.8722,0.517,0.0391,8648.49
22966,gingerbread man cookie cutter,unusual,low,1.2932142857142856,1.2932142857142856,0.0,hold — low confidence,1.9248,0.824,0.0052,8625.130000000001
22619,set of 6 soldier skittles,unusual,high,3.936111111111111,3.936111111111111,0.0,manual review,7.5409,0.0404,0.3291,8597.5
82582,area patrolled metal sign,unusual,high,2.0861111111111112,2.0861111111111112,0.0,manual review,14.4016,0.0216,0.3941,8552.220000000001
21791,vintage heads and tails card game,unusual,low,1.281875,1.281875,0.0,hold — low confidence,6.4484,0.3596,0.0767,8531.41
22041,"record frame 7"" single size",highly elastic,high,2.9516666666666667,2.9516666666666667,0.0,hold — price sensitive,-6.9479,0.0289,0.3644,8450.82
22791,t-light glass fluted antique,unusual,low,1.2876470588235294,1.2876470588235294,0.0,hold — low confidence,0.2965,0.936,0.0007,8378.890000000001
21216,"set 3 retrospot tea,coffee,sugar",highly elastic,medium,4.8500000000000005,4.8500000000000005,0.0,hold — price sensitive,-25.4606,0.1096,0.2159,8322.5
22147,feltcraft butterfly hearts,highly elastic,low,1.45,1.45,0.0,hold — low confidence,-2.8099,0.2624,0.1126,8314.55
22759,set of 3 notebooks in parcel,unusual,high,1.67,1.67,0.0,manual review,14.9575,0.0094,0.5069,8283.75
22158,3 hearts hanging decoration rustic,unusual,low,3.1376923076923076,3.1376923076923076,0.0,hold — low confidence,16.1878,0.6086,0.0272,8161.21
22655,vintage red kitchen cabinet,unusual,low,134.83,134.83,0.0,hold — low confidence,0.4668,0.4182,0.0741,8125.0
48116,doormat multicolour stripe,highly elastic,high,8.25,8.25,0.0,hold — price sensitive,-18.6066,0.0008,0.6564,8037.43
22734,set of 6 ribbons vintage christmas,unusual,medium,2.89,2.89,0.0,manual review,31.8981,0.1652,0.2938,8034.46
23080,red metal box top secret,unusual,low,8.474166666666667,8.474166666666667,0.0,hold — low confidence,11.0448,0.4296,0.1067,7962.03
21210,set of 72 retrospot paper  doilies,highly elastic,low,1.695,1.695,0.0,hold — low confidence,-6.0461,0.2052,0.1552,7947.37
72741,grand chocolatecandle,highly elastic,high,1.45,1.45,0.0,hold — price sensitive,-38.3325,0.0233,0.3865,7785.049999999999
22502,picnic basket wicker small,unusual,low,5.71,5.71,0.0,hold — low confidence,7.8379,0.3977,0.0907,7746.700000000001
84378,set of 3 heart cookie cutters,unusual,low,1.503157894736842,1.503157894736842,0.0,hold — low confidence,1.1794,0.6289,0.022,7741.84
22940,feltcraft christmas fairy,unusual,low,4.40391304347826,4.40391304347826,0.0,hold — low confidence,18.7695,0.4315,0.063,7722.68
20711,jumbo bag toys,highly elastic,high,2.01,2.01,0.0,hold — price sensitive,-10.935,0.017,0.4495,7689.28
21174,pottering in the shed metal sign,unusual,high,2.0940909090909092,2.0940909090909092,0.0,manual review,14.6812,0.0026,0.5773,7681.5
35970,zinc folkart sleigh bells,unusual,low,1.7761538461538462,1.7761538461538462,0.0,hold — low confidence,28.8448,0.3164,0.1985,7665.110000000001
22768,family photo frame cornice,highly elastic,high,9.768749999999999,9.768749999999999,0.0,hold — price sensitive,-20.1929,0.0064,0.5054,7626.879999999999
22952,60 cake cases vintage christmas,highly elastic,medium,0.55,0.55,0.0,hold — price sensitive,-93.4808,0.1321,0.26,7431.05
22557,plasters in tin vintage paisley,unusual,low,1.7280952380952381,1.7280952380952381,0.0,hold — low confidence,0.9282,0.8913,0.0018,7346.69
22616,pack of 12 london tissues,elastic,low,0.3858823529411765,0.3858823529411765,0.0,hold — low confidence,-0.7859,0.4965,0.043,7266.71
22804,candleholder pink hanging heart,highly elastic,medium,3.2655555555555558,3.2655555555555558,0.0,hold — price sensitive,-7.2732,0.1472,0.181,7247.910000000001
21889,wooden box of dominoes,unusual,high,1.2932142857142856,1.2932142857142856,0.0,manual review,23.0069,0.0218,0.3932,7215.95
21908,chocolate this way metal sign,unusual,low,2.195625,2.195625,0.0,hold — low confidence,4.3485,0.2351,0.1254,7208.52
22585,pack of 6 birdy gift tags,unusual,low,1.25,1.25,0.0,hold — low confidence,13.1529,0.3623,0.0759,7149.7
22355,charlotte bag suki design,unusual,low,0.8413333333333333,0.8413333333333333,0.0,hold — low confidence,1.3971,0.7699,0.0081,7138.65
22144,christmas craft little friends,unusual,low,2.15741935483871,2.15741935483871,0.0,hold — low confidence,12.3547,0.3013,0.151,7128.1
84406B,cream cupid hearts coat hanger,highly elastic,medium,4.15,4.15,0.0,hold — price sensitive,-3.7157,0.0881,0.2415,7125.38
22795,sweetheart recipe book stand,highly elastic,low,6.604545454545455,6.604545454545455,0.0,hold — low confidence,-4.3797,0.7585,0.011,7084.650000000001
21218,red spotty biscuit tin,unusual,low,3.75,3.75,0.0,hold — low confidence,0.4522,0.9404,0.0005,7071.2
23007,spaceboy baby gift set,highly elastic,high,16.95,16.95,0.0,hold — price sensitive,-40.6852,0.004,0.6658,7065.499999999999
21787,rain poncho retrospot,unusual,medium,0.966,0.966,0.0,manual review,14.8425,0.1321,0.1939,6964.63
23215,jingle bell heart antique silver,unusual,low,2.216666666666667,2.216666666666667,0.0,hold — low confidence,10.8939,0.4738,0.1071,6962.04
22767,triple photo frame cornice,highly elastic,high,9.95,9.95,0.0,hold — price sensitive,-37.105,0.0001,0.7858,6932.83
23320,giant 50's christmas cracker,unusual,low,1.3895744680851065,1.3895744680851065,0.0,hold — low confidence,0.125,0.9211,0.0028,6926.110000000001
21231,sweetheart ceramic trinket box,elastic,low,1.3633333333333333,1.3633333333333333,0.0,hold — low confidence,-1.0996,0.7569,0.0091,6875.860000000001
84970S,hanging heart zinc t-light holder,highly elastic,medium,0.95,0.95,0.0,hold — price sensitive,-3.4891,0.0601,0.2853,6830.589999999999
23236,doiley storage tin,unusual,low,2.89,2.89,0.0,hold — low confidence,0.4069,0.9814,0.0001,6828.31
22991,giraffe wooden ruler,unusual,low,2.105714285714286,2.105714285714286,0.0,hold — low confidence,2.4556,0.5956,0.0325,6820.74
21035,set/2 red retrospot tea towels,unusual,low,3.73,3.73,0.0,hold — low confidence,0.7587,0.7796,0.0074,6820.01
21169,you're confusing me metal sign,unusual,medium,1.663333333333333,1.663333333333333,0.0,manual review,14.9151,0.131,0.1949,6762.57
22487,white wood garden plant ladder,unusual,low,9.627777777777776,9.627777777777776,0.0,hold — low confidence,13.2722,0.3791,0.0709,6758.849999999999
22333,retrospot party bag + sticker set,highly elastic,high,1.65,1.65,0.0,hold — price sensitive,-45.4549,0.0246,0.381,6742.65
20969,red floral feltcraft shoulder bag,unusual,low,4.059166666666667,4.059166666666667,0.0,hold — low confidence,5.1065,0.6522,0.0191,6734.31
84380,set of 3 butterfly cookie cutters,elastic,low,1.5005,1.5005,0.0,hold — low confidence,-0.8267,0.5712,0.03,6718.9
48111,doormat 3 smiley cats,highly elastic,medium,7.859999999999999,7.859999999999999,0.0,hold — price sensitive,-16.7597,0.0686,0.2703,6715.25
21877,home sweet home mug,inelastic,rule-based,1.832222222222222,1.92,5.0,increase price (rule-based),-0.2776,0.8422,0.0038,6708.11
22634,childs breakfast set spaceboy,highly elastic,high,9.818181818181818,9.818181818181818,0.0,hold — price sensitive,-27.0357,0.0275,0.3697,6681.849999999999
21955,doormat union jack guns and roses,highly elastic,high,7.665,7.665,0.0,hold — price sensitive,-22.8507,0.0311,0.3568,6635.61
22627,mint kitchen scales,unusual,high,8.5,8.5,0.0,manual review,1.3272,0.0177,0.4138,6583.16
22968,rose cottage keepsake box,highly elastic,low,9.65,9.65,0.0,hold — low confidence,-1.6715,0.8542,0.0035,6574.95
22725,alarm clock bakelike chocolate,unusual,high,3.75,3.75,0.0,manual review,20.7798,0.0063,0.5068,6574.26
22367,childrens apron spaceboy design,unusual,low,2.0307407407407405,2.0307407407407405,0.0,hold — low confidence,3.1274,0.5948,0.0266,6572.49
23008,dolly girl baby gift set,highly elastic,high,16.95,16.95,0.0,hold — price sensitive,-43.3881,0.0056,0.6378,6567.95
23283,doormat vintage leaves design,highly elastic,low,8.10375,8.10375,0.0,hold — low confidence,-16.9756,0.2945,0.1802,6552.9
C2,carriage,highly elastic,low,50.0,50.0,0.0,hold — low confidence,-2.0622,0.6842,0.0156,6536.0
22909,set of 20 vintage christmas napkins,highly elastic,low,0.8473469387755102,0.8473469387755102,0.0,hold — low confidence,-66.2711,0.3051,0.1305,6530.259999999999
23134,large zinc heart wall organiser,highly elastic,medium,7.81,7.81,0.0,hold — price sensitive,-30.0609,0.0541,0.6458,6414.48
85014A,black/blue polkadot umbrella,highly elastic,high,8.12,8.12,0.0,hold — price sensitive,-7.0276,0.0306,0.3585,6367.9400000000005
22170,picture frame wood triple portrait,highly elastic,high,6.616666666666667,6.616666666666667,0.0,hold — price sensitive,-20.6049,0.0031,0.5644,6338.28
